id_processo;numero_sigilo;sigla_grau;procedimento;ramo_justica;sigla_tribunal;id_tribunal;recurso;id_ultimo_oj;dt_recebimento;id_ultima_classe;julgadom1
325223825;0701150-22.2018.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;81325;2018-02-16;7;1
325224129;0702358-69.2021.8.07.0007;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;7101;2021-02-11;7;1
325234928;0007503-27.2015.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;13596;2015-04-07;37;1
325237983;sigiloso(325237983);JE;Conhecimento criminal;Justiça ;TJDFT;71;0;12143;2023-07-04;288;1
325241535;0704288-55.2022.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;13596;2022-04-11;65;1
325243506;0708215-46.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6784;2023-06-06;300;1
325246397;0712833-74.2023.8.07.0020;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;86612;2023-07-06;283;1
325249858;0700273-57.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-03-04;10943;1
325250174;0704725-47.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-05-24;283;1
325253602;0704486-82.2023.8.07.0010;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;13744;2024-01-30;283;1
325254319;0002154-23.2017.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2017-10-18;282;1
325255090;0001673-02.2013.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2019-01-09;283;1
325255755;0700744-73.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-05-19;283;1
325256914;0001336-03.2019.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2021-10-01;283;1
325257422;0702751-38.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-07-17;283;1
325257733;0700073-55.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2020-01-15;283;1
325257875;0713251-52.2022.8.07.0018;G2;Conhecimento não criminal;Justiça ;TJDFT;71;1;43075;2023-02-24;198;1
325257889;0700294-38.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2020-01-31;283;1
325258648;0000489-64.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2020-11-03;283;1
325258728;0720299-89.2022.8.07.0009;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2023-02-07;10943;1
325260542;0703661-07.2019.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2019-12-11;283;1
325262568;0702942-88.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-11-30;283;1
325263007;0703075-96.2021.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-05-31;283;1
325266466;0711536-48.2017.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;81325;2017-10-11;7;1
325266773;0711046-26.2017.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;81325;2017-09-29;7;1
325270254;sigiloso(325270254);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;81524;2023-07-02;283;1
325271103;0710651-96.2019.8.07.0007;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;7101;2019-07-16;7;1
325272459;0702551-31.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-07-07;282;1
325273544;0700053-64.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2020-01-13;283;1
325279848;0001336-89.2018.8.07.0017;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2019-05-24;10943;1
325286197;0039640-21.2012.8.07.0001;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;6563;2012-09-14;7;1
325297052;0701444-89.2023.8.07.0021;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;81522;2023-06-02;283;1
325297317;0000442-61.2018.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2018-05-16;282;1
325297815;0701100-38.2023.8.07.0012;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12144;2023-03-20;283;1
325311121;0701682-85.2021.8.07.0019;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;81624;2021-04-26;10943;1
325313296;0005347-56.2011.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2014-10-09;282;1
325313318;sigiloso(325313318);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12144;2022-10-10;283;1
325315424;0703355-84.2023.8.07.0006;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7056;2024-05-23;282;1
325316321;0701359-67.2022.8.07.0012;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12144;2024-03-26;10943;1
325318459;0005342-90.2018.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2023-08-23;283;1
325319804;0708587-35.2023.8.07.0020;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;84221;2023-05-15;283;1
325325329;0702971-79.2023.8.07.0020;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;86612;2023-02-23;10943;1
325327076;0702136-71.2021.8.07.0017;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2022-12-15;10943;1
325327215;sigiloso(325327215);G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;85205;2022-07-05;1464;1
325327227;0703200-13.2021.8.07.0019;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;81624;2021-10-06;10943;1
325327695;0723871-43.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2023-06-19;283;1
325328759;0704665-29.2022.8.07.0017;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2022-08-12;10943;1
325331578;0729433-67.2022.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6784;2023-10-26;300;1
325334933;0732765-42.2022.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2022-09-06;283;1
325340058;0711459-69.2022.8.07.0016;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12139;2022-04-04;10943;1
325341788;0700398-41.2022.8.07.0008;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2022-10-21;10943;1
325347652;0000336-02.2009.8.07.0007;G2;Conhecimento criminal;Justiça ;TJDFT;71;2;43099;2025-05-13;426;1
325354724;0700380-07.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2023-01-12;283;1
325366789;0701519-88.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-04-27;283;1
325367099;0702593-17.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-07-18;283;1
325368569;0700748-50.2022.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2022-02-14;283;1
325369846;0700966-41.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-03-29;283;1
325370270;0702387-85.2022.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2022-08-10;10944;1
325371077;0708462-49.2022.8.07.0005;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;43189;2022-08-15;283;1
325372529;0700323-83.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;43180;2023-02-13;10943;1
325376791;0703092-64.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-12-11;283;1
325377935;0701776-16.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-08-29;283;1
325380913;0000241-69.2018.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2018-03-05;282;1
325382313;0702428-38.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2020-09-01;283;1
325385312;0701785-12.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-11-24;283;1
325388563;0701198-53.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-03-31;283;1
325393904;0702084-23.2021.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-03-15;283;1
325396112;0001483-29.2019.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2020-10-06;283;1
325399469;0703036-44.2022.8.07.0009;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6998;2022-03-23;10943;1
325407241;0703003-41.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-12-07;283;1
325414279;0001608-94.2019.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2021-03-15;283;1
325417342;0700583-66.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6625;2023-01-12;283;1
325424690;0028021-60.2013.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6644;2013-11-08;283;1
325426166;0701865-10.2021.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2021-05-27;283;1
325428181;0700244-93.2022.8.07.0017;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2022-07-07;10943;1
325430719;0700034-87.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-02-15;283;1
325440310;0703658-81.2021.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2021-09-23;282;1
325443654;0700968-45.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-03-23;283;1
325447308;0702155-67.2022.8.07.0009;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6998;2022-06-14;10943;1
325449845;0703120-66.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-06-22;10943;1
325456318;0700325-70.2021.8.07.0019;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;81624;2021-03-10;10943;1
325460207;sigiloso(325460207);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-09-19;283;1
325461524;sigiloso(325461524);G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;6570;2022-05-01;7;1
325468015;0000056-93.2016.8.07.0004;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;6935;2016-01-07;30;1
325469263;0709272-55.2021.8.07.0006;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16283;2021-09-23;10943;1
325477264;0004815-41.2018.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6617;2018-10-18;283;1
325478408;0046465-88.2006.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2004-06-24;283;1
325478907;0702900-39.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2021-06-20;283;1
325486700;0701255-42.2021.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-01-12;283;1
325487479;0704466-83.2021.8.07.0003;G2;Conhecimento criminal;Justiça ;TJDFT;71;2;43101;2025-04-08;417;1
325488505;sigiloso(325488505);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12144;2023-01-27;283;1
325489502;0704073-30.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-01-13;283;1
325490214;0704724-07.2023.8.07.0009;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6998;2023-04-11;10943;1
325492178;0704605-04.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-01-18;283;1
325492724;0704441-39.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-05-04;283;1
325493617;0703250-42.2021.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;6775;2021-05-21;7;1
325494045;0740758-91.2022.8.07.0016;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6617;2022-09-02;10943;1
325496095;0717830-76.2022.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2022-10-24;10943;1
325496278;0705010-40.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-01-27;283;1
325497019;0704641-46.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-11-01;283;1
325498287;0705039-90.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-01-10;283;1
325509823;0704301-39.2021.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2021-11-12;283;1
325511886;0704315-22.2023.8.07.0012;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12144;2023-06-21;10943;1
325514258;0705126-16.2022.8.07.0012;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12144;2022-10-05;10943;1
325515375;0723365-38.2021.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2021-07-06;288;1
325516942;0723370-08.2022.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2023-01-12;283;1
325520961;0720428-37.2021.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7040;2022-02-25;283;1
325533090;0736269-90.2021.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;83275;2021-10-15;310;1
325533634;0704783-84.2021.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-04-07;283;1
325535493;sigiloso(325535493);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;89215;2024-10-04;283;1
325535968;0704273-07.2022.8.07.0012;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12144;2022-08-22;10943;1
325537350;0705624-42.2022.8.07.0003;JE;Conhecimento criminal;Justiça ;TJDFT;71;0;6599;2022-03-07;10944;1
325540622;sigiloso(325540622);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2022-02-08;279;1
